StudentID,Test Score,Grade
724257,86,2
611718,78,3
190763,90,4
453349,84,8
935870,62,2
456968,58,6
375983,74,10
180993,73,9
945235,67,10
550815,70,11
188276,69,9
495203,53,8
318805,85,12
260279,82,3
934621,75,5
516004,62,9
660207,89,3
542411,91,10
417794,93,8
531763,53,9
622593,80,5
136358,74,1
199985,87,7
963663,68,11
311679,68,1
470080,99,11
895677,84,3
141192,80,9
871283,87,6
391174,72,11
860396,77,6
725983,80,7
539175,81,12
343011,67,10
348476,63,1
805508,80,3
948037,76,7
507806,93,1
504888,64,2
205008,64,3
670854,67,5
480292,72,9
929393,86,7
364332,72,7
130386,95,2
380241,59,4
293752,73,3
645258,75,8
292775,100,2
372981,86,4
290343,78,12
516059,80,6
358395,69,11
366408,69,10
776344,84,6
240492,76,9
530715,82,5
881724,93,6
640685,91,2
625632,77,2
944343,92,6
380778,88,10
807292,77,6
830341,96,8
529602,74,8
740498,76,6
393081,95,6
232596,72,10
750435,64,6
987806,74,8
313730,80,9
960415,78,7
608216,80,7
276348,77,3
794421,90,4
742267,53,2
652264,64,9
197659,67,8
705705,70,5
523535,67,10
973254,77,2
575896,81,5
854828,71,6
427435,97,3
994871,86,4
256497,74,9
250650,81,2
308163,92,3
370127,77,4
914163,75,11
471173,96,8
589209,83,11
777394,84,6
335079,92,10
169311,68,6
443733,96,10
663126,69,4
833157,82,5
806416,89,7
371950,65,6
137007,97,6
