StudentID,Test Score,Grade
472853,91,6
742616,82,9
552871,77,3
661930,74,4
226431,87,10
356560,77,6
342928,79,9
239063,82,5
439973,83,8
166889,75,11
722407,80,7
948381,78,7
478294,85,4
428572,83,10
688757,87,8
935543,72,1
541508,81,9
494913,78,11
706102,72,8
912025,69,3
735467,83,5
614261,79,5
480711,87,4
406794,74,5
693530,92,3
228432,72,1
409794,89,8
536687,76,1
702146,77,3
294926,86,2
888858,86,8
790305,88,12
493951,73,7
155022,80,2
213868,78,8
856448,72,5
472716,74,2
209968,97,8
366335,87,10
298928,77,12
921333,68,11
645344,73,8
283262,82,4
636324,101,5
465927,72,4
483795,77,9
574932,75,10
873883,89,1
231700,72,12
703574,72,3
693336,62,7
967885,51,3
437909,72,1
915654,59,1
171130,84,7
949833,92,8
841531,80,8
591071,80,7
406184,74,7
793642,83,6
301068,80,5
678148,78,7
707672,84,2
539293,66,3
524749,87,5
595253,71,7
971443,67,1
394128,76,10
360880,73,7
571884,75,4
773881,72,12
940841,79,12
736171,77,9
476109,80,12
350619,64,5
617758,73,1
843633,74,1
948052,89,11
991626,76,5
411786,71,6
205412,83,8
218179,77,2
497534,67,10
116311,74,3
891455,76,1
135660,65,11
434899,80,8
445605,78,7
868847,99,8
734392,66,8
801500,91,8
789691,60,3
701177,90,11
447628,74,5
855470,70,10
802890,89,5
259931,85,5
787672,60,5
887466,98,1
325802,61,7
133515,80,4
414704,102,7
652736,67,10
609791,87,11
841206,90,3
612821,77,12
684050,88,8
