StudentID,Test Score,Grade
299447,80,1
992778,79,6
259145,91,11
393191,78,4
413511,74,2
215325,59,10
253090,80,11
402856,75,5
277685,78,5
386068,81,4
692954,90,8
548593,80,5
557472,92,11
510983,79,10
323697,71,9
303061,83,9
122059,90,2
769726,80,2
746700,90,8
231647,70,2
983376,90,2
932238,83,11
909102,75,4
790449,67,1
626077,79,5
154789,90,12
830967,71,6
651548,76,11
791917,79,5
811172,91,11
492079,69,12
704966,80,1
391601,79,10
169295,65,3
550388,94,8
707077,86,12
442642,91,9
797142,87,7
222222,92,9
442186,84,5
920553,65,2
820235,90,10
300152,74,6
652176,76,1
396646,71,6
235908,64,2
846438,77,1
720773,72,9
569458,73,1
551334,75,11
112350,74,4
605558,64,4
525127,79,3
679189,79,1
245056,71,10
195346,81,4
324809,75,8
331687,78,3
411801,73,12
633686,70,7
716904,58,6
872280,91,2
266360,65,10
650017,69,4
658114,92,3
270423,64,7
888255,83,9
739599,94,5
634216,72,10
351063,79,8
388453,72,4
867017,101,11
183851,76,11
938573,76,10
466817,74,9
207634,80,4
543433,82,4
175689,83,11
402732,62,1
964268,85,10
171089,74,5
876270,85,12
521640,76,11
609474,78,3
800756,87,4
908410,92,4
694552,61,11
595336,74,9
614200,83,4
141683,69,5
614561,65,4
896272,63,6
