StudentID,Test Score,Grade
773908,73,1
459847,75,4
566113,66,9
349365,72,8
956074,88,6
770764,64,8
716784,87,12
185938,77,1
949382,73,4
586901,77,5
817546,67,5
275826,88,1
659068,55,4
664575,72,12
524009,72,5
233991,87,4
889094,79,12
406748,86,2
668876,67,6
470885,83,2
904319,80,5
904836,75,6
653220,79,12
461955,83,3
692195,72,4
471818,66,4
545844,66,11
617519,75,7
951044,80,11
301335,77,11
688886,84,6
621692,84,10
513775,64,8
210628,72,8
464632,70,10
623229,94,10
684721,78,4
928321,76,11
770404,64,12
147004,92,10
937284,92,3
534675,80,6
316416,91,7
529385,90,9
943449,71,2
619628,74,3
657936,91,8
157172,74,4
614027,82,4
953216,84,1
388864,98,12
983662,78,9
328510,79,9
348767,77,5
655077,71,2
288807,67,9
586489,81,8
705537,75,5
318853,72,6
503762,76,2
720697,68,3
870013,70,4
822816,92,7
543236,67,5
903041,99,5
944883,61,4
850000,96,8
147212,95,4
169346,87,9
153117,79,4
789293,87,4
604657,90,10
502511,77,8
391642,78,12
233007,80,5
645637,64,5
406605,100,5
185230,77,9
470578,86,5
280751,70,9
746137,73,4
999220,84,10
716999,85,4
884138,83,5
461155,73,11
726446,72,7
881199,95,10
728815,82,1
607098,73,3
822297,88,7
710982,66,4
412790,94,2
238627,77,6
710381,86,6
660754,83,2
