StudentID,Test Score,Grade
843735,67,11
979025,67,3
350780,98,3
557568,64,7
547179,67,7
150202,78,3
307921,67,2
597043,61,9
992843,83,11
331076,81,7
198653,63,12
650276,78,12
805026,63,8
200400,90,5
917470,84,9
278133,71,9
656668,72,11
245269,90,7
780764,58,4
415309,71,1
521805,83,3
252075,83,3
303568,68,6
709423,70,11
696405,73,9
537249,83,9
945820,78,8
639808,74,3
246720,85,4
884430,91,7
554113,87,3
712248,101,6
450986,81,4
557956,64,8
863174,84,11
392093,79,12
594333,79,2
678389,86,6
745350,65,1
393237,76,5
174031,93,11
571096,81,4
676072,84,9
754440,87,7
738628,81,5
778630,77,7
844285,79,9
451475,76,7
970381,79,10
813244,95,9
184363,78,12
597815,70,2
271312,83,3
566115,80,12
231387,95,6
873892,56,4
266743,60,3
974802,82,6
303809,73,3
540966,87,3
589492,77,9
783261,64,9
433913,74,5
116073,70,12
938510,100,2
787858,71,8
231869,65,8
682845,71,9
856596,85,9
853421,103,6
862969,75,9
163703,69,2
910278,81,10
170992,72,9
590841,76,5
206487,96,7
311501,69,1
392605,54,9
912468,86,1
611570,76,8
870376,90,9
783184,99,9
913756,87,3
366799,83,5
725649,90,5
413408,71,4
509395,69,5
414188,79,1
979317,86,5
301512,79,7
968279,72,4
