StudentID,Test Score,Grade
551991,90,6
650253,79,5
733820,62,12
524587,63,8
684288,78,4
364948,62,11
601147,80,5
594434,98,12
765014,59,4
597497,71,4
269409,82,9
794120,83,2
373636,82,4
396709,50,2
430682,66,1
282103,90,10
507001,69,4
711306,74,12
135262,74,9
472403,94,3
756910,92,6
330968,85,9
675818,67,7
567136,95,6
366348,80,3
688975,85,10
128498,84,5
151088,81,4
322474,88,3
526128,77,8
531005,83,10
234846,68,10
685542,67,3
318062,68,9
175345,61,8
341072,97,11
893415,91,4
821494,72,10
303007,82,5
660165,77,1
536219,75,3
423138,66,1
481867,85,7
667064,76,11
703891,91,6
670154,79,1
114728,89,6
408070,76,2
464286,78,3
263141,64,4
347426,90,2
741905,73,6
250356,60,10
165250,68,7
798992,96,11
317954,86,10
257668,87,8
577555,92,7
162597,76,4
714370,75,8
429070,72,2
462209,74,8
567456,69,7
884012,77,10
335139,93,3
830404,66,5
489029,67,4
910605,70,4
521616,75,7
872266,72,8
391696,77,1
173717,95,12
832125,73,12
718969,51,2
929167,72,11
902637,88,11
746656,82,1
276008,70,5
709999,90,7
753138,71,6
284917,76,7
304144,75,12
652104,62,9
625831,86,9
971468,66,3
694625,99,3
186266,77,10
594381,81,8
353171,84,10
284268,56,10
666015,76,3
266743,84,11
308058,87,9
131527,87,4
996854,67,4
870371,71,2
111582,86,2
650961,84,2
675096,69,4
766068,80,1
272040,79,9
440073,77,8
237812,73,6
454679,65,8
337708,80,1
989838,106,12
523716,69,8
465359,83,6
112800,61,12
812548,76,9
500715,59,4
932305,87,1
932276,77,8
884103,76,6
572934,86,11
723926,89,12
517962,81,7
140744,73,1
