StudentID,Test Score,Grade
808278,76,12
809840,81,2
859514,86,4
483815,89,11
930739,66,2
979520,73,6
544909,103,4
619734,86,12
746375,81,12
640695,89,4
451999,65,10
437019,77,6
503634,86,2
802221,50,6
795260,67,1
368099,74,9
731255,65,8
571573,87,9
646979,81,5
867929,77,5
835770,58,10
163600,85,3
944688,62,1
886732,80,11
940735,79,2
239712,70,12
243388,92,6
503892,81,1
817710,75,9
949849,73,7
749487,76,10
892825,81,11
322596,81,1
890576,66,6
487628,88,7
137022,71,3
676179,90,1
864948,75,4
834756,88,10
599705,72,4
408465,80,9
663686,67,9
538468,84,7
193075,82,8
393498,79,4
316625,72,3
314823,91,9
232052,101,7
429014,74,2
750139,67,9
112018,74,12
807874,60,11
420622,83,7
824755,92,4
518275,67,3
265228,67,4
325615,94,9
195256,73,3
736521,76,1
882379,84,3
410101,72,10
206526,80,9
211541,78,10
980367,74,12
745415,70,12
405263,81,10
889949,84,8
210570,79,12
824627,84,8
251176,81,11
879465,82,10
480741,54,5
178454,64,4
599031,76,12
177789,95,10
945727,73,6
632718,112,12
765089,72,12
516866,94,9
145561,72,6
202171,76,12
884254,96,5
875554,84,5
819946,69,9
145884,69,9
844019,83,10
671755,80,1
779173,89,9
524182,82,9
118324,79,2
542750,90,3
135073,94,5
275612,74,8
120190,91,3
176396,87,6
985887,74,10
445312,85,4
223623,83,8
370608,86,4
670545,78,12
252809,85,6
871571,77,1
972694,72,12
447687,66,4
198198,76,8
650174,81,7
978080,88,3
