StudentID,Test Score,Grade
260081,90,5
783165,81,4
434920,69,11
360541,89,10
982067,84,1
744991,73,8
450930,83,4
188932,61,2
287905,80,5
139400,73,7
246444,72,3
183412,70,10
661763,79,8
384109,72,5
692080,82,4
924482,75,2
266364,102,10
112898,67,1
298187,78,8
896170,69,2
380630,91,9
891796,93,9
302915,84,9
326372,67,3
487202,72,6
205861,76,2
191731,66,4
785721,73,6
198459,72,10
728779,72,12
235686,70,4
509694,86,11
220822,74,11
165977,74,4
539147,56,2
838248,79,3
469400,85,5
949792,77,4
845528,70,3
673626,89,10
987154,94,9
500171,84,3
944213,80,4
952341,73,10
249186,65,3
222490,83,8
883884,85,11
150354,65,1
143334,77,7
224206,63,12
725833,74,2
968474,88,12
214625,71,3
843582,72,5
183263,75,10
682263,70,5
939585,78,4
528216,75,11
890994,74,7
295399,68,10
736117,80,12
563760,74,12
990805,90,10
517650,67,3
748764,73,7
355930,66,6
529158,90,1
216755,92,2
226291,62,7
669541,93,3
944831,70,6
957654,80,8
337561,58,1
655110,108,2
203653,84,1
927710,72,1
254766,75,7
463943,87,9
972753,92,2
723556,82,9
881778,76,6
278635,90,4
591818,68,11
482829,73,10
679544,68,11
582219,86,7
382111,75,5
764230,84,8
940047,87,2
375718,83,12
355682,74,5
534014,63,7
953706,75,11
716607,83,9
626056,76,9
703729,82,8
288062,80,3
687524,87,12
955991,83,9
932973,71,11
897854,97,6
295355,72,9
575460,84,1
380402,83,2
270847,80,3
156059,87,6
984730,84,6
979087,83,12
480431,86,12
212267,85,1
