StudentID,Test Score,Grade
757034,64,1
480786,66,4
483008,64,7
318070,88,6
746212,81,12
529651,81,3
610533,60,6
423017,81,7
821680,85,4
791239,72,7
978418,64,4
280311,65,4
781978,58,4
261494,76,9
730167,85,9
593253,81,9
351671,84,12
454366,80,6
871659,53,10
647515,70,3
762430,89,10
201441,87,10
823778,89,1
216981,96,7
952692,66,7
458452,79,11
598270,89,10
930663,81,10
454120,83,10
419029,74,10
664334,80,7
939537,78,3
587735,77,10
542680,93,9
864390,82,11
941982,70,12
593561,78,10
852254,91,6
540891,72,1
832424,87,10
858898,88,11
152373,80,10
952803,83,8
719225,77,1
636723,82,8
580740,88,10
599435,97,4
512639,65,7
556542,76,10
867528,98,11
346675,72,5
614417,74,11
321255,69,2
616285,96,12
803011,84,12
153118,71,8
245390,80,7
194962,70,2
489715,61,5
691498,81,5
440787,72,10
217891,78,6
498114,83,10
261684,74,6
440186,98,8
308287,69,5
146109,91,4
756244,76,2
181031,76,5
695756,84,4
280035,62,1
214714,54,5
142475,82,7
726163,89,4
430355,81,12
577287,81,1
724662,78,7
814435,85,2
791017,62,12
253991,72,6
188281,82,4
388503,91,7
591525,74,12
330913,91,2
949834,79,12
695489,74,12
537314,74,8
808139,84,5
120706,89,1
469996,66,12
567370,72,8
673737,76,10
655469,88,12
684285,65,3
882080,74,12
502192,78,12
379688,68,5
281077,86,6
310021,70,12
892800,87,6
186799,79,4
914494,75,12
923814,79,3
705312,79,11
