StudentID,Test Score,Grade
509696,70,6
366412,62,8
680713,72,11
319911,78,10
131375,64,1
686302,60,1
468049,56,12
446791,94,1
439579,87,8
280021,70,3
286662,73,6
605379,75,3
113091,65,2
486236,97,5
199582,89,1
550898,74,5
283892,81,2
333596,90,5
457546,84,10
291704,88,5
855760,80,10
274600,80,2
285243,82,4
670359,75,9
952930,91,4
928753,70,8
112123,71,12
668229,91,7
833109,94,1
529568,75,8
243095,88,8
475235,95,12
914577,66,7
477760,88,3
397707,68,2
559226,72,4
850752,61,8
188702,86,1
308289,75,9
129988,80,8
327538,89,12
966808,74,11
695537,77,8
345335,73,1
934648,74,11
244647,78,12
424768,53,6
736129,72,5
978613,76,12
473913,72,3
343399,57,8
863373,58,3
993387,70,8
625721,88,4
362033,85,3
443188,80,9
992280,75,4
649060,82,10
553327,87,8
680725,64,4
661645,81,3
388711,87,8
119018,89,6
703468,74,12
446163,79,6
362088,78,9
702065,81,2
307461,68,9
352586,84,2
643716,72,8
501841,71,12
367572,56,5
191647,51,1
479870,83,11
192827,75,9
578034,100,5
728758,94,8
775059,79,5
192091,79,3
395996,70,5
624415,77,2
131880,95,3
598942,67,10
359159,83,2
577893,79,6
207797,92,11
562348,85,8
980032,65,3
359553,92,4
489982,73,9
396115,87,4
